student_id,study_hours,attendance_pct,previous_grade,assignments_completed,program,passed
1001,6.8,99.3,7.1,9,Engineering,1
1002,3.4,66.7,5.8,4,Engineering,0
1003,7.9,90.6,8.0,1,Engineering,1
1004,8.4,78.7,5.7,8,Engineering,1
1005,1.1,81.4,5.7,0,Engineering,0
1006,2.7,71.5,7.1,8,Engineering,1
1007,6.3,78.7,7.4,0,Business,1
1008,5.2,95.0,7.0,2,Business,1
1009,6.0,87.8,4.5,6,AI,1
1010,3.9,99.3,7.1,10,Design,1
1011,8.2,93.8,5.3,4,Business,1
1012,7.9,86.4,6.8,1,Business,1
1013,6.2,99.4,4.8,2,Design,1
1014,8.8,86.4,7.0,9,Business,1
1015,7.2,90.3,5.5,7,AI,1
1016,3.9,79.0,5.0,1,Engineering,0
1017,6.9,82.7,7.4,4,Enginering,1
1018,3.6,75.0,6.8,2,AI,0
1019,8.2,91.9,5.8,1,AI,1
1020,5.9,70.2,8.2,9,Business,0
1021,5.5,89.8,6.0,6,Engineering,1
1022,4.3,80.1,6.5,1,Engineering,0
1023,9.1,93.7,6.8,7,AI,1
1024,5.6,89.5,5.8,4,Engineering,0
1025,4.9,100.0,7.1,0,AI,1
1026,5.1,89.3,5.9,4,Business,1
1027,7.3,66.3,6.0,2,Engineering,1
1028,6.9,81.3,8.1,2,AI,0
1029,7.0,70.3,5.3,9,AI,1
1030,7.1,76.8,3.6,7,Business,0
1031,11.4,97.1,8.4,1,Design,1
1032,5.0,88.4,9.6,9,Engineering,1
1033,4.7,75.0,6.0,6,Engineering,1
1034,4.0,71.9,4.2,9,AI,0
1035,,82.3,6.1,8,AI,1
1036,8.8,69.8,6.2,3,Engineering,1
1037,5.7,75.3,6.3,5,Business,1
1038,3.9,85.1,5.2,5,Engineering,1
1039,3.9,93.6,7.2,7,Design,0
1040,7.6,88.1,7.1,2,AI,1
1041,7.9,59.1,4.7,3,Engineering,0
1042,7.4,85.0,7.3,2,AI,0
